Venue (sponsor),Nb,Perc.
IEEE ISTAS,1,0.1
IEEE IRI,1,0.1
IEEE WIAMIS,1,0.1
IEEE ISSNIP,1,0.1
IEEE ISCC,1,0.1
IEEE TPAMI,1,0.1
IEEE ISABEL,1,0.1
IEEE LaTiCE,1,0.1
IEEE MENACOMM,1,0.1
IEEE MDM,1,0.1
IEEE VLSID,1,0.1
IEEE UPINLBS,1,0.1
IEEE TASE,1,0.1
IEEE TAP,1,0.1
IEEE RE,1,0.1
IEEE RO-MAN,1,0.1
IEEE TAFFC,1,0.1
IEEE VL/HCC,1,0.1
IEEE TMECH,1,0.1
IEEE ROSE,1,0.1
IEEE RTSI,1,0.1
IEEE SAI,1,0.1
IEEE SCEECS,1,0.1
IEEE IICAIET,1,0.1
IEEE SCOReD,1,0.1
IEEE PHT,1,0.1
IEEE PAHCE,1,0.1
IEEE TIE,1,0.1
IEEE MWSCAS,1,0.1
IEEE MIM,1,0.1
IEEE MMSP,1,0.1
IEEE UIC-ATC-ScalCom,1,0.1
IEEE TETC,1,0.1
IEEE TE,1,0.1
IEEE MTS,1,0.1
IEEE MetroInd4.0&IoT,1,0.1
IEEE OPTIM,1,0.1
IEEE NCC,1,0.1
IEEE NEBEC,1,0.1
IEEE TCYB,1,0.1
IEEE NGMAST,1,0.1
IEEE NIGERCON,1,0.1
IEEE WCCIT,1,0.1
IEEE IMBioC,1,0.1
IEEE ICIEV,1,0.1
IEEE IHCI,1,0.1
IEEE ARSO,1,0.1
ACM WWW,1,0.1
ACM iConference,1,0.1
ACM/IEEE CHASE,1,0.1
ACM/IEEE DAC,1,0.1
IEEE AICAS,1,0.1
IEEE AICT,1,0.1
IEEE AIIoT,1,0.1
IEEE AIPR,1,0.1
IEEE ANDESCON,1,0.1
IEEE ATSIP,1,0.1
ACM TiiS,1,0.1
IEEE BECITHCON,1,0.1
IEEE BEIAC,1,0.1
IEEE BWCCA,1,0.1
IEEE BioRob,1,0.1
IEEE CCUBE,1,0.1
IEEE CCWC,1,0.1
IEEE CISIS,1,0.1
IEEE CISTI,1,0.1
IEEE COMSNETS,1,0.1
ACM VRST,1,0.1
ACM TOIS,1,0.1
IEEE CoASE,1,0.1
ACM ICCCNT,1,0.1
ACM AISec,1,0.1
ACM AutomotiveUI,1,0.1
ACM COMPASS,1,0.1
ACM DEV,1,0.1
ACM DSAI,1,0.1
ACM ETRA,1,0.1
ACM FDG,1,0.1
ACM GIS,1,0.1
ACM HT,1,0.1
ACM ICDCN,1,0.1
ACM TOG,1,0.1
ACM ICISS,1,0.1
ACM ICMR,1,0.1
ACM IMMPD,1,0.1
ACM IMX,1,0.1
ACM ITS,1,0.1
ACM MobiCom,1,0.1
ACM MobiSys,1,0.1
ACM SIGDOC,1,0.1
ACM TOCE,1,0.1
IEEE CYBER,1,0.1
IEEE CogInfoCom,1,0.1
IEEE IGEHT,1,0.1
IEEE ICOSP,1,0.1
IEEE ICGEC,1,0.1
ACM AIES,1,0.1
IEEE ICIIP,1,0.1
IEEE ICIIS,1,0.1
IEEE ICIPTM,1,0.1
IEEE ICIS,1,0.1
IEEE ICMA,1,0.1
IEEE ICONSTEM,1,0.1
IEEE ICORR,1,0.1
IEEE ICRITO,1,0.1
IEEE ICEPES,1,0.1
IEEE ICSET,1,0.1
IEEE ICSGRC,1,0.1
IEEE ICSME,1,0.1
IEEE ICST,1,0.1
IEEE ICSTM,1,0.1
IEEE ICVES,1,0.1
IEEE IEMCON,1,0.1
IEEE IEMTRONICS,1,0.1
IEEE IFITA,1,0.1
IEEE ICET,1,0.1
IEEE ICCSCE,1,0.1
IEEE DAS,1,0.1
IEEE IACC,1,0.1
IEEE DSMP,1,0.1
IEEE ECCTD,1,0.1
IEEE EHB,1,0.1
IEEE EIT,1,0.1
IEEE GHTC,1,0.1
IEEE HPCC/SmartCity/DSS,1,0.1
IEEE HST,1,0.1
IEEE I2CACIS,1,0.1
IEEE I2CT,1,0.1
IEEE IC3D,1,0.1
IEEE ICCPEIC,1,0.1
IEEE IC4,1,0.1
IEEE ICACCI,1,0.1
IEEE ICAEE,1,0.1
IEEE ICC,1,0.1
IEEE ICCC,1,0.1
IEEE ICCCS,1,0.1
IEEE ICCE-Taiwan,1,0.1
IEEE ICCES,1,0.1
IEEE ICCPCT,1,0.1
IEEE WOCC,1,0.1
